"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",895,865,853,820,850,1083,948,953,930,934
,"Rural",515,510,562,544,590,803,585,541,535,518
,"Urban",378,351,285,274,260,280,363,412,395,415
,"Unknown",2,4,6,2,0,0,0,0,0,1
"Fatalities Per 100 Million VMT","Total (C-3)",1.38,1.33,1.31,1.25,1.26,1.56,1.34,1.34,1.30,1.38
,"Rural",1.70,1.69,1.85,1.97,2.09,2.76,2.04,1.88,1.84,1.86
,"Urban",1.09,1.01,0.82,0.72,0.67,0.70,0.86,0.97,0.92,1.03
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",683,648,666,618,648,780,711,716,673,705
,"Restrained",269,255,271,240,252,296,265,299,268,263
,"Unrestrained (C-4)",382,354,369,351,355,423,398,354,352,384
,"Unknown",32,39,26,27,41,61,48,63,53,58
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,261,240,259,265,244,298,265,249,272,236
"Speeding-Related Fatalities (C-6)",,298,273,253,237,236,329,257,262,216,265

"Motorcyclist Fatalities","Total (C-7)",98,97,80,65,67,112,79,82,93,78
,"Helmeted",88,86,78,53,57,101,72,72,78,68
,"Unhelmeted (C-8)",10,10,1,10,9,11,6,10,15,10
,"Unknown",0,1,1,2,1,0,1,0,0,0
"Drivers Involved in Fatal Crashes","Total",1211,1214,1114,1055,1181,1411,1249,1315,1298,1297
,"Aged Under 15",1,1,3,1,1,3,3,1,2,1
,"Aged 15-20",135,138,99,90,121,158,114,126,116,119
,"Aged Under 21 (C-9)",136,139,102,91,122,161,117,127,118,120
,"Aged 21 and Over",1067,1062,1005,949,1038,1238,1112,1167,1160,1149
,"Unknown Age",8,13,7,15,21,12,20,21,20,28
"Pedestrian Fatalities (C-10)",,79,77,59,96,98,120,119,107,119,101
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,9,6,9,9,3,7,9,6,10
"Observed Seat Belt Use*** (B-1)",,88,90,97,96,93,92,93,92,92,92


