"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Alabama",1083,69227,1.56,4866824,22.25
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Alabama",948,70677,1.34,4877989,19.43
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Alabama",953,71167,1.34,4891628,19.48
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Alabama",930,71735,1.30,4907965,18.95
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Alabama",934,67921,1.38,4921532,18.98
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


