"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Alaska",84,5259,1.60,742575,11.31
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Alaska",79,5519,1.43,740983,10.66
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Alaska",80,5487,1.46,736624,10.86
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Alaska",67,5881,1.14,733603,9.13
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Alaska",64,5306,1.21,731158,8.75
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


