"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",826,821,849,773,897,952,998,1011,979,1054
,"Rural",384,375,337,289,343,335,360,320,356,343
,"Urban",439,444,509,482,550,612,637,677,604,652
,"Unknown",3,2,3,2,4,5,1,14,19,59
"Fatalities Per 100 Million VMT","Total (C-3)",1.39,1.37,1.40,1.23,1.38,1.45,1.53,1.53,1.39,1.60
,"Rural",2.24,2.20,2.37,1.86,2.20,2.13,2.25,1.96,2.13,2.18
,"Urban",1.04,1.03,1.10,1.02,1.11,1.22,1.30,1.36,1.13,1.30
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",438,470,451,392,495,511,491,512,476,507
,"Restrained",171,164,174,140,188,205,211,201,196,209
,"Unrestrained (C-4)",222,254,228,208,256,246,243,243,220,234
,"Unknown",45,52,49,44,51,60,37,68,60,64
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,212,230,221,200,267,244,270,298,259,293
"Speeding-Related Fatalities (C-6)",,299,302,293,255,315,325,313,310,325,353

"Motorcyclist Fatalities","Total (C-7)",136,141,151,130,137,146,162,156,175,161
,"Helmeted",56,68,62,56,58,55,68,66,79,75
,"Unhelmeted (C-8)",73,70,83,69,74,86,86,74,86,77
,"Unknown",7,3,6,5,5,5,8,16,10,9
"Drivers Involved in Fatal Crashes","Total",1096,1086,1153,1022,1228,1303,1371,1403,1351,1463
,"Aged Under 15",1,0,6,1,1,5,3,0,3,1
,"Aged 15-20",115,99,113,85,93,100,114,106,98,117
,"Aged Under 21 (C-9)",116,99,119,86,94,105,117,106,101,118
,"Aged 21 and Over",937,946,988,889,1081,1146,1193,1202,1185,1239
,"Unknown Age",43,41,46,47,53,52,61,95,65,106
"Pedestrian Fatalities (C-10)",,147,122,151,142,155,186,213,236,210,222
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,23,18,31,29,28,31,32,24,30,33
"Observed Seat Belt Use*** (B-1)",,83,82,85,87,87,88,86,86,91,91


