"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Arizona",952,65786,1.45,6944767,13.71
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Arizona",998,65070,1.53,7048088,14.16
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Arizona",1011,66145,1.53,7164228,14.11
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Arizona",979,70281,1.39,7291843,13.43
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Arizona",1054,65758,1.60,7421401,14.20
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


