"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",551,560,498,470,550,561,525,520,511,638
,"Rural",426,435,367,357,387,366,339,307,342,445
,"Urban",125,125,131,113,163,195,186,213,169,193
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.67,1.67,1.49,1.38,1.58,1.57,1.44,1.42,1.38,1.88
,"Rural",2.31,2.38,2.28,2.17,2.29,2.12,1.93,1.73,1.91,2.73
,"Urban",0.86,0.82,0.75,0.64,0.90,1.05,0.99,1.13,0.88,1.10
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",403,402,352,348,389,398,374,352,353,429
,"Restrained",151,151,144,151,158,167,166,145,152,178
,"Unrestrained (C-4)",220,227,176,167,196,196,180,177,166,204
,"Unknown",32,24,32,30,35,35,28,30,35,47
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,154,144,121,136,159,130,146,135,131,166
"Speeding-Related Fatalities (C-6)",,86,76,73,56,92,118,124,132,132,164

"Motorcyclist Fatalities","Total (C-7)",64,72,63,61,80,82,69,66,66,80
,"Helmeted",23,25,20,24,30,23,30,19,27,38
,"Unhelmeted (C-8)",35,42,40,36,48,59,36,45,34,39
,"Unknown",6,5,3,1,2,0,3,2,5,3
"Drivers Involved in Fatal Crashes","Total",735,745,653,673,757,765,725,734,709,843
,"Aged Under 15",2,3,1,1,2,1,1,0,1,8
,"Aged 15-20",66,66,62,56,63,73,47,60,61,70
,"Aged Under 21 (C-9)",68,69,63,57,65,74,48,60,62,78
,"Aged 21 and Over",655,672,589,613,686,681,670,660,636,746
,"Unknown Age",12,4,1,3,6,10,7,14,11,19
"Pedestrian Fatalities (C-10)",,42,47,46,37,44,49,47,62,62,81
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,6,6,4,7,3,3,4,4,3,6
"Observed Seat Belt Use*** (B-1)",,78,72,77,74,78,75,81,78,82,82


