"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Arkansas",561,35755,1.57,2991815,18.75
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Arkansas",525,36389,1.44,3003855,17.48
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Arkansas",520,36675,1.42,3012161,17.26
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Arkansas",511,37099,1.38,3020985,16.92
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Arkansas",638,33919,1.88,3030522,21.05
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


