"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",2816,2966,3107,3102,3387,3837,3884,3798,3719,3847
,"Rural",1190,1200,1201,1170,1404,1593,1423,1085,1141,1175
,"Urban",1626,1766,1906,1931,1982,2244,2458,2712,2571,2666
,"Unknown",0,0,0,1,1,0,3,1,7,6
"Fatalities Per 100 Million VMT","Total (C-3)",0.88,0.91,0.94,0.93,1.01,1.13,1.13,1.09,1.09,1.28
,"Rural",2.11,2.09,2.32,2.23,2.62,3.01,2.60,1.86,2.02,2.12
,"Urban",0.61,0.66,0.69,0.69,0.70,0.78,0.85,0.93,0.90,1.09
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",1558,1623,1657,1631,1849,2030,2093,2023,1944,2061
,"Restrained",930,1028,1014,1000,1119,1268,1288,1223,1150,1105
,"Unrestrained (C-4)",528,496,516,479,568,611,625,635,634,756
,"Unknown",100,99,127,152,162,151,180,165,160,200
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,774,829,880,876,902,1114,1141,1116,966,1159

"Speeding-Related Fatalities (C-6)",,898,954,992,995,1032,1151,1164,1000,1108,1228
"Motorcyclist Fatalities","Total (C-7)",415,447,463,522,494,576,578,523,491,539
,"Helmeted",385,409,417,491,464,533,519,480,452,491
,"Unhelmeted (C-8)",26,32,35,24,23,28,45,34,28,35
,"Unknown",4,6,11,7,7,15,14,9,11,13
"Drivers Involved in Fatal Crashes","Total",3781,3965,4222,4259,4679,5293,5443,5273,5162,5217
,"Aged Under 15",1,1,3,0,3,0,0,3,2,6
,"Aged 15-20",326,329,355,383,401,448,424,392,361,399
,"Aged Under 21 (C-9)",327,330,358,383,404,448,424,395,363,405
,"Aged 21 and Over",3316,3511,3708,3719,4108,4638,4817,4649,4582,4569
,"Unknown Age",138,124,156,157,167,207,202,229,217,243
"Pedestrian Fatalities (C-10)",,633,653,734,709,819,933,940,978,1011,986
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,116,129,147,129,136,155,145,165,143,129
"Observed Seat Belt Use*** (B-1)",,97,96,97,97,97,97,96,96,96,96


