"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","California",3837,340115,1.13,39149186,9.80
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","California",3884,343862,1.13,39337785,9.87
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","California",3798,348796,1.09,39437463,9.63
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","California",3719,340836,1.09,39437610,9.43
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","California",3847,299812,1.28,39368078,9.77
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


