"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",447,474,482,488,547,608,648,632,597,622
,"Rural",227,233,244,228,260,266,277,259,242,236
,"Urban",220,241,238,260,285,342,369,373,352,385
,"Unknown",0,0,0,0,2,0,2,0,3,1
"Fatalities Per 100 Million VMT","Total (C-3)",0.96,1.01,1.03,1.00,1.08,1.17,1.21,1.17,1.09,1.28
,"Rural",1.53,1.56,1.64,1.58,1.77,1.74,1.76,1.63,1.49,1.57
,"Urban",0.69,0.76,0.74,0.75,0.80,0.93,0.98,0.98,0.92,1.15
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",300,289,317,308,347,360,410,402,371,351
,"Restrained",112,124,124,140,148,166,175,171,160,142
,"Unrestrained (C-4)",185,158,177,156,188,184,222,216,190,190
,"Unknown",3,7,16,12,11,10,13,15,21,19
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,160,134,140,160,151,163,177,192,160,186
"Speeding-Related Fatalities (C-6)",,183,164,151,168,217,211,230,210,239,287

"Motorcyclist Fatalities","Total (C-7)",78,79,87,94,106,125,103,103,103,140
,"Helmeted",28,24,31,33,39,42,31,45,48,63
,"Unhelmeted (C-8)",49,53,55,61,67,82,72,58,54,74
,"Unknown",1,2,1,0,0,1,0,0,1,3
"Drivers Involved in Fatal Crashes","Total",587,632,628,684,789,880,940,890,868,878
,"Aged Under 15",0,1,0,1,0,0,2,0,1,3
,"Aged 15-20",63,66,57,73,67,59,91,81,76,83
,"Aged Under 21 (C-9)",63,67,57,74,67,59,93,81,77,86
,"Aged 21 and Over",519,551,565,605,711,809,834,791,777,771
,"Unknown Age",5,14,6,5,11,12,13,18,14,21
"Pedestrian Fatalities (C-10)",,45,76,50,63,59,79,92,89,73,87
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,8,13,12,10,13,16,16,22,20,15
"Observed Seat Belt Use*** (B-1)",,82,81,82,82,85,84,84,86,88,86


