"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Colorado",608,52152,1.17,5543844,10.97
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Colorado",648,53382,1.21,5617421,11.54
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Colorado",632,53954,1.17,5697155,11.09
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Colorado",597,54634,1.09,5758486,10.37
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Colorado",622,48642,1.28,5807719,10.71
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


