"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",221,264,286,248,270,304,281,293,249,295
,"Rural",38,77,130,60,46,37,44,38,47,46
,"Urban",183,186,156,188,221,261,235,252,199,248
,"Unknown",0,1,0,0,3,6,2,3,3,1
"Fatalities Per 100 Million VMT","Total (C-3)",0.71,0.84,0.92,0.80,0.85,0.96,0.89,0.93,0.79,0.99
,"Rural",0.97,1.99,3.41,1.92,1.46,1.17,1.40,1.20,1.47,1.57
,"Urban",0.67,0.68,0.58,0.67,0.78,0.92,0.83,0.89,0.70,0.92
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",144,165,187,136,155,174,163,172,137,168
,"Restrained",57,73,82,50,68,73,81,71,58,65
,"Unrestrained (C-4)",55,56,75,48,68,65,53,73,57,65
,"Unknown",32,36,30,38,19,36,29,28,22,38
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,94,100,126,97,100,114,122,120,98,118
"Speeding-Related Fatalities (C-6)",,74,64,76,69,77,82,90,100,64,96
"Motorcyclist Fatalities","Total (C-7)",37,48,57,55,55,52,57,49,46,58

,"Helmeted",10,15,24,20,20,14,22,20,15,27
,"Unhelmeted (C-8)",25,30,22,32,33,36,33,28,28,25
,"Unknown",2,3,11,3,2,2,2,1,3,6
"Drivers Involved in Fatal Crashes","Total",292,372,385,338,374,442,379,413,338,414
,"Aged Under 15",0,0,0,1,0,1,0,0,0,0
,"Aged 15-20",25,27,37,20,26,32,27,28,31,34
,"Aged Under 21 (C-9)",25,27,37,21,26,33,27,28,31,34
,"Aged 21 and Over",262,338,344,314,344,396,347,376,297,365
,"Unknown Age",5,7,4,3,4,13,5,9,10,15
"Pedestrian Fatalities (C-10)",,26,43,37,47,46,59,49,59,54,56
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,8,4,3,4,3,6,3,1,3,5
"Observed Seat Belt Use*** (B-1)",,88,87,87,85,85,89,90,92,94,94


