"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Connecticut",304,31639,0.96,3579830,8.49
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Connecticut",281,31500,0.89,3575324,7.86
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Connecticut",293,31596,0.93,3574561,8.20
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Connecticut",249,31601,0.79,3566022,6.98
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Connecticut",295,29845,0.99,3557006,8.29
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


