"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",99,114,99,124,131,119,119,111,132,116
,"Rural",58,57,51,64,62,69,61,34,48,47
,"Urban",41,57,48,60,69,50,56,77,84,69
,"Unknown",0,0,0,0,0,0,2,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.10,1.24,1.06,1.29,1.32,1.17,1.14,1.09,1.29,1.39
,"Rural",2.00,1.92,1.67,2.23,2.07,2.30,2.33,1.38,1.90,2.33
,"Urban",0.67,0.92,0.77,0.89,1.00,0.70,0.71,1.00,1.09,1.09
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",61,61,50,73,69,73,69,62,72,73
,"Restrained",27,29,26,46,33,36,33,29,44,32
,"Unrestrained (C-4)",33,25,23,25,33,31,33,32,24,34
,"Unknown",1,7,1,2,3,6,3,1,4,7
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,41,35,38,52,39,37,31,28,32,27
"Speeding-Related Fatalities (C-6)",,34,46,37,45,35,39,33,33,37,33
"Motorcyclist Fatalities","Total (C-7)",19,17,20,15,19,14,10,17,18,15
,"Helmeted",4,13,13,7,13,9,6,8,10,12

,"Unhelmeted (C-8)",14,4,7,7,6,4,4,9,8,3
,"Unknown",1,0,0,1,0,1,0,0,0,0
"Drivers Involved in Fatal Crashes","Total",141,146,150,166,196,170,173,167,187,154
,"Aged Under 15",0,0,0,0,0,0,1,0,0,0
,"Aged 15-20",13,15,12,12,20,13,6,10,16,17
,"Aged Under 21 (C-9)",13,15,12,12,20,13,7,10,16,17
,"Aged 21 and Over",126,127,135,153,170,153,157,154,169,137
,"Unknown Age",2,4,3,1,6,4,9,3,2,0
"Pedestrian Fatalities (C-10)",,18,27,25,26,36,27,33,23,32,25
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,0,4,1,3,3,2,5,6,7,3
"Observed Seat Belt Use*** (B-1)",,90,88,92,92,90,91,91,92,93,93


