"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Delaware",119,10178,1.17,949989,12.53
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Delaware",119,10467,1.14,957942,12.42
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Delaware",111,10179,1.09,966985,11.48
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Delaware",132,10245,1.29,976668,13.52
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Delaware",116,8345,1.39,986809,11.76
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


