"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",2400,2431,2403,2494,2938,3176,3116,3135,3185,3331
,"Rural",968,873,969,634,859,870,834,803,831,741
,"Urban",1420,1555,1434,1860,1972,2275,2282,2332,2352,2265
,"Unknown",12,3,0,0,107,31,0,0,2,325
"Fatalities Per 100 Million VMT","Total (C-3)",1.25,1.27,1.25,1.24,1.42,1.47,1.42,1.41,1.41,1.60
,"Rural",2.78,2.53,2.79,1.99,2.59,2.48,2.32,2.19,2.21,2.10
,"Urban",0.90,0.99,0.91,1.10,1.13,1.26,1.25,1.26,1.24,1.31
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",1242,1259,1217,1207,1462,1694,1645,1581,1585,1745
,"Restrained",568,610,600,640,780,889,923,849,898,895
,"Unrestrained (C-4)",609,580,553,511,602,740,673,693,659,816
,"Unknown",65,69,64,56,80,65,49,39,28,34
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,694,709,672,694,794,901,834,822,775,871
"Speeding-Related Fatalities (C-6)",,298,366,346,245,320,310,307,305,303,285

"Motorcyclist Fatalities","Total (C-7)",464,492,485,478,615,586,590,575,592,600
,"Helmeted",193,227,239,240,316,288,291,278,280,288
,"Unhelmeted (C-8)",253,252,237,223,283,283,289,286,304,300
,"Unknown",18,13,9,15,16,15,10,11,8,12
"Drivers Involved in Fatal Crashes","Total",3283,3426,3337,3513,4136,4584,4619,4532,4724,4817
,"Aged Under 15",6,3,0,4,3,0,2,5,8,7
,"Aged 15-20",289,297,263,265,356,401,379,370,348,388
,"Aged Under 21 (C-9)",295,300,263,269,359,401,381,375,356,395
,"Aged 21 and Over",2915,3034,2998,3140,3647,4037,4093,4025,4230,4263
,"Unknown Age",73,92,76,104,130,146,145,132,138,159
"Pedestrian Fatalities (C-10)",,490,477,499,588,629,653,654,706,714,696
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,126,124,133,139,150,139,125,161,161,170
"Observed Seat Belt Use*** (B-1)",,88,87,87,89,89,90,90,91,90,90


