"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Florida",3176,215551,1.47,20627237,15.40
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Florida",3116,218826,1.42,20977089,14.85
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Florida",3135,221816,1.41,21254926,14.75
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Florida",3185,226514,1.41,21492056,14.82
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Florida",3331,208076,1.60,21733312,15.33
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


