"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",1226,1192,1180,1164,1432,1556,1540,1505,1492,1664
,"Rural",627,589,557,462,565,603,594,508,520,647
,"Urban",579,603,621,702,867,953,946,997,972,1014
,"Unknown",20,0,2,0,0,0,0,0,0,3
"Fatalities Per 100 Million VMT","Total (C-3)",1.13,1.11,1.08,1.04,1.21,1.27,1.23,1.14,1.12,1.43
,"Rural",1.73,1.68,2.18,1.79,1.98,2.01,2.00,1.55,1.63,2.23
,"Urban",0.80,0.83,0.74,0.82,0.97,1.03,1.00,1.01,0.96,1.17
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",878,829,812,795,1008,1047,1056,994,990,1072
,"Restrained",389,394,350,376,488,484,488,448,514,505
,"Unrestrained (C-4)",422,368,377,363,411,472,464,441,385,465
,"Unknown",67,67,85,56,109,91,104,105,91,102
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,271,295,296,279,358,378,357,379,355,402
"Speeding-Related Fatalities (C-6)",,220,180,197,213,268,266,248,268,260,380

"Motorcyclist Fatalities","Total (C-7)",150,134,116,137,152,172,139,154,170,192
,"Helmeted",133,125,107,124,138,154,119,134,151,167
,"Unhelmeted (C-8)",15,8,5,8,10,9,18,16,15,18
,"Unknown",2,1,4,5,4,9,2,4,4,7
"Drivers Involved in Fatal Crashes","Total",1689,1676,1621,1622,2043,2154,2283,2149,2184,2365
,"Aged Under 15",6,4,0,4,3,6,6,0,3,4
,"Aged 15-20",159,154,156,145,165,182,188,192,169,206
,"Aged Under 21 (C-9)",165,158,156,149,168,188,194,192,172,210
,"Aged 21 and Over",1495,1499,1442,1448,1838,1925,2067,1908,1955,2101
,"Unknown Age",29,19,23,25,37,41,22,49,57,54
"Pedestrian Fatalities (C-10)",,130,167,176,163,194,232,253,262,236,279
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,14,17,28,19,23,29,15,30,21,32
"Observed Seat Belt Use*** (B-1)",,93,92,96,97,97,97,97,96,96,96


