"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Georgia",1556,122802,1.27,10308442,15.09
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Georgia",1540,124733,1.23,10417031,14.78
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Georgia",1505,131456,1.14,10519389,14.31
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Georgia",1492,133128,1.12,10628020,14.04
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Georgia",1664,115967,1.43,10710017,15.54
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


