"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",100,125,102,95,93,120,107,117,108,85
,"Rural",42,56,40,30,13,25,25,26,21,9
,"Urban",58,69,62,65,80,94,82,91,86,76
,"Unknown",0,0,0,0,0,1,0,0,1,0
"Fatalities Per 100 Million VMT","Total (C-3)",0.99,1.24,1.01,0.93,0.90,1.13,1.00,1.07,0.98,0.97
,"Rural",1.75,2.33,2.23,1.75,0.73,1.37,1.34,1.41,1.12,0.61
,"Urban",0.76,0.90,0.75,0.77,0.94,1.07,0.92,1.01,0.94,1.04
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",40,56,42,38,37,63,59,37,46,40
,"Restrained",15,16,15,15,11,22,19,12,22,11
,"Unrestrained (C-4)",14,31,23,18,15,22,21,16,16,13
,"Unknown",11,9,4,5,11,19,19,9,8,16
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,45,47,34,30,37,37,42,38,36,27
"Speeding-Related Fatalities (C-6)",,45,69,45,36,41,54,51,51,52,37
"Motorcyclist Fatalities","Total (C-7)",32,40,29,25,26,24,25,34,20,18
,"Helmeted",7,12,10,12,10,9,11,12,5,5

,"Unhelmeted (C-8)",25,28,19,12,16,15,14,22,14,13
,"Unknown",0,0,0,1,0,0,0,0,1,0
"Drivers Involved in Fatal Crashes","Total",140,176,123,128,124,153,144,156,146,114
,"Aged Under 15",0,0,0,0,0,0,1,0,1,0
,"Aged 15-20",12,10,9,8,13,12,5,10,11,8
,"Aged Under 21 (C-9)",12,10,9,8,13,12,6,10,12,8
,"Aged 21 and Over",123,163,109,118,111,136,137,142,127,103
,"Unknown Age",5,3,5,2,0,5,1,4,7,3
"Pedestrian Fatalities (C-10)",,23,26,23,24,25,29,14,42,36,21
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,2,2,2,4,2,0,6,2,4,4
"Observed Seat Belt Use*** (B-1)",,96,93,94,94,93,95,97,98,97,97


