"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Hawaii",120,10635,1.13,1428885,8.40
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Hawaii",107,10749,1.00,1425763,7.50
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Hawaii",117,10887,1.07,1423102,8.22
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Hawaii",108,11024,0.98,1415615,7.63
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Hawaii",85,8785,0.97,1407006,6.04
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


