"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",167,184,214,186,216,253,245,234,224,214
,"Rural",136,152,175,151,178,194,183,170,169,167
,"Urban",31,32,39,35,38,47,62,64,54,47
,"Unknown",0,0,0,0,0,12,0,0,1,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.05,1.13,1.34,1.15,1.30,1.47,1.42,1.32,1.24,1.23
,"Rural",1.47,1.60,1.88,1.61,1.87,1.96,1.84,1.67,1.67,1.67
,"Urban",0.46,0.47,0.58,0.52,0.53,0.64,0.84,0.85,0.68,0.64
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",126,135,160,130,163,191,177,152,166,156
,"Restrained",46,59,54,61,63,67,63,59,76,56
,"Unrestrained (C-4)",72,72,98,68,94,114,95,80,81,85
,"Unknown",8,4,8,1,6,10,19,13,9,15
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,50,52,57,53,71,75,64,56,69,61
"Speeding-Related Fatalities (C-6)",,45,61,50,48,49,54,48,47,48,62
"Motorcyclist Fatalities","Total (C-7)",17,22,25,25,28,22,27,38,25,27

,"Helmeted",8,12,12,9,10,7,10,17,15,10
,"Unhelmeted (C-8)",9,10,12,15,18,14,17,21,10,16
,"Unknown",0,0,1,1,0,1,0,0,0,1
"Drivers Involved in Fatal Crashes","Total",214,244,273,231,280,321,327,320,305,299
,"Aged Under 15",0,0,1,2,1,1,3,0,0,1
,"Aged 15-20",34,17,31,25,37,29,32,42,27,32
,"Aged Under 21 (C-9)",34,17,32,27,38,30,35,42,27,33
,"Aged 21 and Over",179,227,241,204,242,288,290,277,278,266
,"Unknown Age",1,0,0,0,0,3,2,1,0,0
"Pedestrian Fatalities (C-10)",,9,13,14,13,8,17,15,17,12,14
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,0,2,3,2,0,6,2,2,4,3
"Observed Seat Belt Use*** (B-1)",,79,79,82,80,81,83,81,85,86,86


