"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Idaho",253,17199,1.47,1684036,15.02
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Idaho",245,17300,1.42,1719745,14.25
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Idaho",234,17709,1.32,1752074,13.36
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Idaho",224,18058,1.24,1789060,12.52
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Idaho",214,17406,1.23,1826913,11.71
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


