"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",918,956,991,924,998,1078,1090,1035,1009,1194
,"Rural",398,395,411,417,419,437,399,386,357,355
,"Urban",520,561,580,506,579,639,688,649,646,812
,"Unknown",0,0,0,1,0,2,3,0,6,27
"Fatalities Per 100 Million VMT","Total (C-3)",0.89,0.91,0.94,0.88,0.95,1.00,1.01,0.96,0.94,1.27
,"Rural",1.51,1.50,1.62,1.69,1.67,1.71,1.55,1.50,1.41,1.52
,"Urban",0.68,0.72,0.73,0.63,0.72,0.78,0.84,0.79,0.79,1.15
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",577,608,651,621,643,702,713,668,643,776
,"Restrained",268,286,308,320,303,355,352,325,312,300
,"Unrestrained (C-4)",268,279,287,246,254,268,265,252,249,293
,"Unknown",41,43,56,55,86,79,96,91,82,183
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,278,322,330,302,309,336,357,325,311,379
"Speeding-Related Fatalities (C-6)",,441,387,421,349,377,419,464,439,376,460

"Motorcyclist Fatalities","Total (C-7)",145,148,152,118,147,154,160,119,138,153
,"Helmeted",37,29,35,34,41,37,48,31,37,49
,"Unhelmeted (C-8)",108,115,113,81,105,116,108,87,100,102
,"Unknown",0,4,4,3,1,1,4,1,1,2
"Drivers Involved in Fatal Crashes","Total",1246,1322,1346,1274,1359,1565,1560,1473,1455,1666
,"Aged Under 15",4,1,2,0,3,2,2,1,1,1
,"Aged 15-20",122,117,130,118,132,136,152,109,113,141
,"Aged Under 21 (C-9)",126,118,132,118,135,138,154,110,114,142
,"Aged 21 and Over",1099,1168,1190,1138,1196,1398,1363,1326,1297,1446
,"Unknown Age",21,36,24,18,28,29,43,37,44,78
"Pedestrian Fatalities (C-10)",,134,138,124,123,150,147,147,166,173,176
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,27,29,30,27,26,20,26,24,12,30
"Observed Seat Belt Use*** (B-1)",,93,94,94,94,95,93,94,95,94,94


