"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Illinois",1078,107314,1.00,12821709,8.41
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Illinois",1090,108011,1.01,12779893,8.53
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Illinois",1035,107954,0.96,12724685,8.13
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Illinois",1009,107525,0.94,12667017,7.97
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Illinois",1194,94121,1.27,12587530,9.49
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


