"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",360,365,317,322,320,402,330,319,336,337
,"Rural",300,286,256,255,230,306,254,255,244,239
,"Urban",60,79,61,67,90,96,76,64,92,98
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.15,1.16,1.00,1.03,0.96,1.21,0.99,0.96,1.00,1.13
,"Rural",1.58,1.50,1.41,1.38,1.19,1.56,1.28,1.29,1.22,1.34
,"Urban",0.49,0.63,0.45,0.52,0.65,0.70,0.56,0.47,0.68,0.83
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",265,256,237,220,236,290,220,224,237,205
,"Restrained",113,119,108,109,123,153,97,121,125,91
,"Unrestrained (C-4)",120,112,102,89,101,109,97,78,93,91
,"Unknown",32,25,27,22,12,28,26,25,19,23
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,83,96,101,91,78,108,90,90,102,113
"Speeding-Related Fatalities (C-6)",,64,70,51,45,49,94,70,62,69,61
"Motorcyclist Fatalities","Total (C-7)",36,59,41,52,41,60,49,43,44,64

,"Helmeted",2,11,10,15,9,13,14,14,9,20
,"Unhelmeted (C-8)",34,47,31,37,31,47,34,29,35,43
,"Unknown",0,1,0,0,1,0,1,0,0,1
"Drivers Involved in Fatal Crashes","Total",473,491,433,432,421,540,449,466,470,466
,"Aged Under 15",0,1,1,0,2,3,3,1,0,2
,"Aged 15-20",53,48,34,50,50,50,46,43,33,48
,"Aged Under 21 (C-9)",53,49,35,50,52,53,49,44,33,50
,"Aged 21 and Over",418,440,396,381,368,485,400,418,436,413
,"Unknown Age",2,2,2,1,1,2,0,4,1,3
"Pedestrian Fatalities (C-10)",,25,20,20,19,25,22,23,22,21,27
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,3,3,4,5,8,5,7,9,10
"Observed Seat Belt Use*** (B-1)",,94,92,92,93,93,94,91,94,95,95


