"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Iowa",402,33337,1.21,3133210,12.83
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Iowa",330,33482,0.99,3143734,10.50
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Iowa",319,33282,0.96,3149900,10.13
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Iowa",336,33537,1.00,3159596,10.63
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Iowa",337,29751,1.13,3163561,10.65
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


