"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",386,405,350,385,355,429,461,405,410,426
,"Rural",314,326,271,298,276,322,313,252,258,262
,"Urban",72,79,79,87,79,105,147,150,151,164
,"Unknown",0,0,0,0,0,2,1,3,1,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.29,1.32,1.16,1.25,1.13,1.34,1.43,1.26,1.29,1.53
,"Rural",2.14,2.16,1.87,2.01,1.84,2.12,2.06,1.64,1.69,1.91
,"Urban",0.47,0.51,0.50,0.55,0.48,0.62,0.86,0.89,0.91,1.16
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",305,295,265,296,256,310,342,277,315,288
,"Restrained",125,117,103,128,114,142,147,129,141,125
,"Unrestrained (C-4)",159,163,146,150,127,148,167,126,137,134
,"Unknown",21,15,16,18,15,20,28,22,37,29
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,108,104,98,108,82,98,106,81,87,96
"Speeding-Related Fatalities (C-6)",,109,114,111,109,128,107,104,95,110,102

"Motorcyclist Fatalities","Total (C-7)",45,48,35,48,44,52,56,65,41,65
,"Helmeted",13,12,15,18,15,21,21,22,13,27
,"Unhelmeted (C-8)",32,34,18,28,28,30,32,40,28,37
,"Unknown",0,2,2,2,1,1,3,3,0,1
"Drivers Involved in Fatal Crashes","Total",541,527,469,514,465,556,623,563,548,574
,"Aged Under 15",2,1,3,1,3,3,1,1,2,1
,"Aged 15-20",61,67,51,54,57,52,53,71,49,45
,"Aged Under 21 (C-9)",63,68,54,55,60,55,54,72,51,46
,"Aged 21 and Over",474,457,409,455,403,497,564,486,493,517
,"Unknown Age",4,2,6,4,2,4,5,5,4,11
"Pedestrian Fatalities (C-10)",,14,26,25,23,24,41,33,28,16,46
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,2,7,6,7,3,5,5,5,8,4
"Observed Seat Belt Use*** (B-1)",,83,80,81,86,82,87,82,84,85,85


