"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",680,723,703,740,752,757,770,771,727,828
,"Rural",348,345,342,389,368,368,374,305,375,383
,"Urban",332,378,361,351,377,385,395,466,352,443
,"Unknown",0,0,0,0,7,4,1,0,0,2
"Fatalities Per 100 Million VMT","Total (C-3)",1.46,1.54,1.47,1.53,1.56,1.54,1.56,1.54,1.42,1.71
,"Rural",1.73,1.70,1.73,1.94,1.99,1.94,1.97,1.56,1.89,2.02
,"Urban",1.26,1.42,1.29,1.24,1.27,1.27,1.31,1.53,1.12,1.51
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",473,461,476,503,496,486,492,468,458,534
,"Restrained",170,191,197,171,189,211,206,209,179,200
,"Unrestrained (C-4)",270,240,248,284,262,225,246,222,234,298
,"Unknown",33,30,31,48,45,50,40,37,45,36
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,219,235,232,247,244,228,212,221,214,233
"Speeding-Related Fatalities (C-6)",,214,211,193,204,171,173,181,140,94,189

"Motorcyclist Fatalities","Total (C-7)",80,78,86,83,91,94,97,79,87,78
,"Helmeted",59,71,66,67,78,80,78,71,69,51
,"Unhelmeted (C-8)",14,4,18,10,12,11,13,2,10,15
,"Unknown",7,3,2,6,1,3,6,6,8,12
"Drivers Involved in Fatal Crashes","Total",939,945,955,942,1032,1067,1055,1071,1014,1118
,"Aged Under 15",1,0,4,1,1,2,0,3,3,2
,"Aged 15-20",93,99,83,80,79,97,88,84,78,94
,"Aged Under 21 (C-9)",94,99,87,81,80,99,88,87,81,96
,"Aged 21 and Over",824,827,848,841,930,943,947,962,913,994
,"Unknown Age",21,19,20,20,22,25,20,22,20,28
"Pedestrian Fatalities (C-10)",,90,119,97,105,106,127,115,164,118,144
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,18,24,14,13,34,22,23,29,22,34
"Observed Seat Belt Use*** (B-1)",,78,79,83,84,86,88,87,87,88,88


