"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",720,746,638,672,761,834,782,724,732,780
,"Rural",559,582,494,517,593,607,510,515,503,501
,"Urban",161,164,144,155,168,226,271,208,229,279
,"Unknown",0,0,0,0,0,1,1,1,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.50,1.58,1.36,1.40,1.56,1.69,1.59,1.46,1.48,1.68
,"Rural",2.00,2.13,1.82,2.01,2.27,2.30,1.94,1.93,1.89,1.99
,"Urban",0.80,0.82,0.73,0.70,0.75,0.98,1.18,0.91,1.00,1.31
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",544,541,465,498,558,588,575,514,526,541
,"Restrained",235,231,220,213,249,270,283,235,264,247
,"Unrestrained (C-4)",306,309,245,285,308,318,290,279,262,294
,"Unknown",3,1,0,0,1,0,2,0,0,0
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,172,169,166,171,192,177,181,136,151,199
"Speeding-Related Fatalities (C-6)",,141,151,125,125,140,138,138,111,114,162

"Motorcyclist Fatalities","Total (C-7)",71,106,87,86,91,111,90,95,92,92
,"Helmeted",29,38,28,38,30,35,31,35,24,38
,"Unhelmeted (C-8)",42,68,59,48,61,76,59,60,68,54
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Drivers Involved in Fatal Crashes","Total",998,1023,873,884,1070,1175,1086,1029,1052,1070
,"Aged Under 15",1,0,0,1,1,2,1,0,2,1
,"Aged 15-20",85,88,80,78,88,91,96,80,66,87
,"Aged Under 21 (C-9)",86,88,80,79,89,93,97,80,68,88
,"Aged 21 and Over",906,931,786,801,970,1073,975,935,973,956
,"Unknown Age",6,4,7,4,11,9,14,14,11,26
"Pedestrian Fatalities (C-10)",,50,49,55,57,67,81,83,73,73,91
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,2,6,3,4,7,9,7,10,5,5
"Observed Seat Belt Use*** (B-1)",,82,84,85,86,87,87,87,90,90,90


