"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Kentucky",834,49313,1.69,4440306,18.78
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Kentucky",782,49239,1.59,4455590,17.55
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Kentucky",724,49544,1.46,4464273,16.22
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Kentucky",732,49410,1.48,4472345,16.37
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Kentucky",780,46536,1.68,4477251,17.42
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


