"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Louisiana",757,49156,1.54,4681346,16.17
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Louisiana",770,49221,1.56,4673673,16.48
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Louisiana",771,50045,1.54,4664450,16.53
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Louisiana",727,51360,1.42,4658285,15.61
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Louisiana",828,48374,1.71,4645318,17.82
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


