"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",136,164,144,131,156,160,173,136,157,164
,"Rural",135,164,140,118,130,129,136,116,126,131
,"Urban",1,0,4,13,26,28,36,20,31,32
,"Unknown",0,0,0,0,0,3,1,0,0,1
"Fatalities Per 100 Million VMT","Total (C-3)",0.95,1.16,1.02,0.92,1.07,1.08,1.17,0.92,1.06,1.25
,"Rural",1.31,1.60,1.37,1.14,1.23,1.29,1.36,1.14,1.23,1.44
,"Urban",0.03,0.00,0.10,0.33,0.64,0.58,0.77,0.43,0.67,0.80
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",102,124,111,104,101,120,115,101,103,114
,"Restrained",47,49,55,63,48,57,62,52,52,50
,"Unrestrained (C-4)",51,75,55,41,53,60,53,49,48,64
,"Unknown",4,0,1,0,0,3,0,0,3,0
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,23,50,41,37,50,63,48,39,49,64
"Speeding-Related Fatalities (C-6)",,69,78,50,39,60,56,50,42,49,47
"Motorcyclist Fatalities","Total (C-7)",15,24,14,11,32,18,26,23,27,29
,"Helmeted",4,10,1,7,8,6,9,5,7,8

,"Unhelmeted (C-8)",11,14,13,4,24,12,17,18,20,21
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Drivers Involved in Fatal Crashes","Total",169,215,188,172,190,205,251,178,189,216
,"Aged Under 15",2,1,1,0,0,0,0,0,1,0
,"Aged 15-20",22,20,17,16,13,19,18,9,11,17
,"Aged Under 21 (C-9)",24,21,18,16,13,19,18,9,12,17
,"Aged 21 and Over",145,194,170,156,177,185,231,169,176,199
,"Unknown Age",0,0,0,0,0,1,2,0,1,0
"Pedestrian Fatalities (C-10)",,10,9,11,9,19,17,20,6,16,9
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,0,1,4,2,0,4,2,2,2,2
"Observed Seat Belt Use*** (B-1)",,82,84,83,85,86,86,89,89,89,89


