"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Maine",160,14838,1.08,1332348,12.01
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Maine",173,14738,1.17,1335743,12.95
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Maine",136,14784,0.92,1340123,10.15
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Maine",157,14871,1.06,1345770,11.67
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Maine",164,13086,1.25,1350141,12.15
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


