"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",485,511,465,442,520,522,558,512,535,567
,"Rural",170,180,167,149,125,108,127,90,115,87
,"Urban",311,325,295,293,378,408,423,414,412,478
,"Unknown",4,6,3,0,17,6,8,8,8,2
"Fatalities Per 100 Million VMT","Total (C-3)",0.86,0.90,0.82,0.78,0.90,0.88,0.93,0.86,0.89,1.11
,"Rural",1.21,1.26,1.58,1.47,1.21,1.01,1.18,0.85,1.07,0.93
,"Urban",0.74,0.77,0.64,0.63,0.80,0.84,0.86,0.84,0.83,1.15
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",287,319,279,255,317,290,320,298,309,322
,"Restrained",135,173,153,134,190,150,163,162,148,134
,"Unrestrained (C-4)",139,113,108,98,87,112,113,106,114,133
,"Unknown",13,33,18,23,40,28,44,30,47,55
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,161,163,137,130,159,143,186,129,167,183
"Speeding-Related Fatalities (C-6)",,142,202,148,134,124,132,163,128,142,163

"Motorcyclist Fatalities","Total (C-7)",76,78,62,69,75,76,87,62,77,85
,"Helmeted",64,70,56,58,69,63,70,48,68,71
,"Unhelmeted (C-8)",11,8,5,8,6,12,13,13,7,14
,"Unknown",1,0,1,3,0,1,4,1,2,0
"Drivers Involved in Fatal Crashes","Total",686,709,645,643,725,760,792,744,776,814
,"Aged Under 15",0,0,1,0,1,1,0,0,1,0
,"Aged 15-20",63,58,41,36,41,50,50,52,47,56
,"Aged Under 21 (C-9)",63,58,42,36,42,51,50,52,48,56
,"Aged 21 and Over",606,637,586,595,662,687,712,678,705,730
,"Unknown Age",17,14,17,12,21,22,30,14,23,28
"Pedestrian Fatalities (C-10)",,102,97,108,101,97,108,117,131,124,130
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,5,6,5,11,16,11,6,10,15
"Observed Seat Belt Use*** (B-1)",,94,91,91,92,93,91,92,90,90,90


