"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Maryland",522,59137,0.88,6007014,8.69
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Maryland",558,60045,0.93,6028186,9.26
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Maryland",512,59775,0.86,6042153,8.47
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Maryland",535,60216,0.89,6054954,8.84
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Maryland",567,50885,1.11,6055802,9.36
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


