"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",374,383,351,354,344,387,347,355,336,343
,"Rural",44,50,50,37,22,17,22,34,25,28
,"Urban",330,333,300,317,321,370,325,320,311,315
,"Unknown",0,0,1,0,1,0,0,1,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",0.68,0.68,0.62,0.62,0.58,0.63,0.55,0.53,0.52,0.63
,"Rural",1.08,1.97,1.93,1.42,0.78,0.49,0.71,1.11,0.82,1.04
,"Urban",0.65,0.62,0.56,0.58,0.57,0.63,0.55,0.50,0.50,0.61
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",251,224,218,218,187,244,205,203,200,213
,"Restrained",81,76,64,67,51,71,40,61,61,60
,"Unrestrained (C-4)",122,103,100,113,88,113,133,106,97,98
,"Unknown",48,45,54,38,48,60,32,36,42,55
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,126,129,125,143,105,144,122,122,112,98
"Speeding-Related Fatalities (C-6)",,121,114,89,85,92,126,103,100,80,97
"Motorcyclist Fatalities","Total (C-7)",40,56,42,47,56,44,51,58,46,52

,"Helmeted",33,44,33,39,47,39,47,53,28,47
,"Unhelmeted (C-8)",5,3,5,4,7,3,1,5,0,2
,"Unknown",2,9,4,4,2,2,3,0,18,3
"Drivers Involved in Fatal Crashes","Total",499,497,445,456,456,501,466,484,450,482
,"Aged Under 15",0,0,0,0,0,0,0,1,0,0
,"Aged 15-20",50,45,37,27,34,48,36,26,32,35
,"Aged Under 21 (C-9)",50,45,37,27,34,48,36,27,32,35
,"Aged 21 and Over",444,445,407,425,419,444,426,455,416,443
,"Unknown Age",5,7,1,4,3,9,4,2,2,4
"Pedestrian Fatalities (C-10)",,69,82,79,74,79,78,72,77,77,52
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,16,6,8,12,10,12,4,5,10
"Observed Seat Belt Use*** (B-1)",,73,73,75,77,74,78,74,82,82,82


