"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Massachusetts",387,61825,0.63,6827280,5.67
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Massachusetts",347,62660,0.55,6863560,5.06
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Massachusetts",355,66772,0.53,6885720,5.16
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Massachusetts",336,64890,0.52,6894883,4.87
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Massachusetts",343,54127,0.63,6893574,4.98
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


