"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",889,940,947,901,967,1065,1031,977,986,1084
,"Rural",396,424,429,378,534,424,402,410,401,430
,"Urban",493,511,516,522,428,635,625,566,579,651
,"Unknown",0,5,2,1,5,6,4,1,6,3
"Fatalities Per 100 Million VMT","Total (C-3)",0.94,0.99,1.00,0.93,0.99,1.07,1.01,0.95,0.97,1.25
,"Rural",1.32,1.41,1.53,1.33,1.83,1.42,1.30,1.31,1.28,1.56
,"Urban",0.76,0.79,0.77,0.76,0.62,0.91,0.88,0.80,0.82,1.10
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",576,623,601,585,588,664,659,643,645,670
,"Restrained",315,320,329,305,316,356,356,355,344,294
,"Unrestrained (C-4)",193,224,183,196,190,198,191,184,206,221
,"Unknown",68,79,89,84,82,110,112,104,95,155
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,256,261,249,212,266,247,303,283,264,306
"Speeding-Related Fatalities (C-6)",,238,251,255,235,264,245,241,248,250,292

"Motorcyclist Fatalities","Total (C-7)",118,138,138,112,141,152,150,143,134,170
,"Helmeted",100,68,64,50,75,63,74,79,62,77
,"Unhelmeted (C-8)",10,64,67,52,57,78,69,58,61,77
,"Unknown",8,6,7,10,9,11,7,6,11,16
"Drivers Involved in Fatal Crashes","Total",1227,1328,1356,1272,1440,1524,1490,1474,1408,1555
,"Aged Under 15",0,1,1,1,1,2,0,4,3,2
,"Aged 15-20",152,136,129,118,152,138,120,98,124,125
,"Aged Under 21 (C-9)",152,137,130,119,153,140,120,102,127,127
,"Aged 21 and Over",1046,1170,1189,1117,1260,1347,1345,1346,1255,1386
,"Unknown Age",29,21,37,36,27,37,25,26,26,42
"Pedestrian Fatalities (C-10)",,138,130,148,148,166,163,156,142,141,171
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,24,19,27,22,33,38,21,21,21,38
"Observed Seat Belt Use*** (B-1)",,95,94,93,93,93,95,94,93,94,94


