"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",368,395,387,361,411,392,358,381,364,394
,"Rural",247,269,256,262,274,232,209,218,213,240
,"Urban",121,126,131,99,135,159,148,160,150,153
,"Unknown",0,0,0,0,2,1,1,3,1,1
"Fatalities Per 100 Million VMT","Total (C-3)",0.65,0.69,0.68,0.63,0.72,0.66,0.60,0.63,0.60,0.76
,"Rural",1.00,1.10,1.10,1.12,1.17,0.96,0.86,0.88,0.86,1.08
,"Urban",0.38,0.39,0.39,0.29,0.40,0.45,0.42,0.45,0.42,0.52
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",265,270,259,270,280,251,236,252,238,245
,"Restrained",128,129,149,156,156,144,135,123,129,110
,"Unrestrained (C-4)",106,101,80,93,85,74,71,84,74,100
,"Unknown",31,40,30,21,39,33,30,45,35,35
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,109,114,95,108,115,95,85,104,85,107
"Speeding-Related Fatalities (C-6)",,86,91,84,111,84,92,89,114,77,122

"Motorcyclist Fatalities","Total (C-7)",42,55,61,46,61,56,55,59,46,66
,"Helmeted",13,11,16,9,18,17,16,17,13,23
,"Unhelmeted (C-8)",19,33,34,29,38,36,36,42,33,42
,"Unknown",10,11,11,8,5,3,3,0,0,1
"Drivers Involved in Fatal Crashes","Total",503,537,559,525,589,565,534,534,523,544
,"Aged Under 15",2,0,0,0,0,3,0,1,1,0
,"Aged 15-20",54,47,49,38,60,49,42,55,36,55
,"Aged Under 21 (C-9)",56,47,49,38,60,52,42,56,37,55
,"Aged 21 and Over",446,488,504,484,522,503,489,474,483,485
,"Unknown Age",1,2,6,3,7,10,3,4,3,4
"Pedestrian Fatalities (C-10)",,39,38,32,15,39,58,38,42,47,45
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,5,7,6,5,10,7,6,7,11,10
"Observed Seat Belt Use*** (B-1)",,93,94,95,95,94,93,92,92,93,93


