"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Minnesota",392,59029,0.66,5525360,7.09
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Minnesota",358,59971,0.60,5569283,6.43
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Minnesota",381,60438,0.63,5608762,6.79
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Minnesota",364,60731,0.60,5640053,6.45
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Minnesota",394,51619,0.76,5657342,6.96
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


