"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",630,582,613,607,677,687,685,663,642,752
,"Rural",508,407,519,551,559,533,428,440,450,515
,"Urban",122,175,94,56,118,154,256,223,192,237
,"Unknown",0,0,0,0,0,0,1,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.62,1.51,1.58,1.54,1.70,1.69,1.68,1.63,1.56,1.90
,"Rural",2.20,1.75,2.35,2.45,2.52,2.33,1.78,1.85,1.88,2.21
,"Urban",0.77,1.13,0.56,0.33,0.67,0.86,1.52,1.32,1.12,1.45
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",501,463,489,475,546,541,538,491,503,537
,"Restrained",192,167,201,192,236,244,223,205,209,221
,"Unrestrained (C-4)",309,293,284,279,309,296,310,281,275,229
,"Unknown",0,3,4,4,1,1,5,5,19,87
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,159,191,207,172,171,134,157,166,166,162
"Speeding-Related Fatalities (C-6)",,104,95,126,96,96,81,59,48,120,126

"Motorcyclist Fatalities","Total (C-7)",58,39,39,41,37,50,39,41,40,62
,"Helmeted",52,34,35,34,29,39,26,35,33,41
,"Unhelmeted (C-8)",6,5,4,6,8,7,7,6,5,15
,"Unknown",0,0,0,1,0,4,6,0,2,6
"Drivers Involved in Fatal Crashes","Total",807,684,779,757,872,918,928,890,844,966
,"Aged Under 15",2,1,1,5,2,3,2,2,0,3
,"Aged 15-20",84,63,75,76,103,86,99,73,71,97
,"Aged Under 21 (C-9)",86,64,76,81,105,89,101,75,71,100
,"Aged 21 and Over",720,619,698,675,752,821,819,797,755,847
,"Unknown Age",1,1,5,1,15,8,8,18,18,19
"Pedestrian Fatalities (C-10)",,47,48,53,53,63,58,71,89,65,106
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,7,4,6,6,5,5,6,6,8,9
"Observed Seat Belt Use*** (B-1)",,82,83,74,78,80,78,79,80,81,79


