"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Mississippi",687,40755,1.69,2990595,22.97
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Mississippi",685,40877,1.68,2990674,22.90
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Mississippi",663,40730,1.63,2982879,22.23
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Mississippi",642,41091,1.56,2978227,21.56
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Mississippi",752,39665,1.90,2966786,25.35
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


