"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",786,826,757,766,870,947,932,921,881,987
,"Rural",495,474,459,471,497,553,467,512,463,493
,"Urban",291,350,298,295,372,394,465,409,418,494
,"Unknown",0,2,0,0,1,0,0,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.14,1.21,1.09,1.08,1.21,1.28,1.23,1.20,1.11,1.36
,"Rural",1.71,1.66,1.61,1.62,1.69,1.82,1.44,1.54,1.34,1.52
,"Urban",0.73,0.88,0.73,0.70,0.88,0.90,1.07,0.94,0.94,1.23
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",597,600,559,556,621,666,668,655,575,679
,"Restrained",177,155,192,198,217,236,230,232,181,197
,"Unrestrained (C-4)",371,394,325,312,356,383,380,379,341,425
,"Unknown",49,51,42,46,48,47,58,44,53,57
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,258,283,244,205,221,248,247,245,236,312
"Speeding-Related Fatalities (C-6)",,310,326,308,267,309,328,347,367,328,421

"Motorcyclist Fatalities","Total (C-7)",82,104,74,91,97,128,121,113,123,123
,"Helmeted",71,90,66,79,86,109,100,98,106,99
,"Unhelmeted (C-8)",10,9,7,7,7,15,20,12,12,24
,"Unknown",1,5,1,5,4,4,1,3,5,0
"Drivers Involved in Fatal Crashes","Total",993,1096,992,1040,1220,1293,1324,1328,1232,1355
,"Aged Under 15",2,2,4,3,4,3,3,0,5,2
,"Aged 15-20",131,127,111,94,118,125,121,99,106,110
,"Aged Under 21 (C-9)",133,129,115,97,122,128,124,99,111,112
,"Aged 21 and Over",852,956,865,925,1066,1142,1177,1200,1100,1216
,"Unknown Age",8,11,12,18,32,23,23,29,21,27
"Pedestrian Fatalities (C-10)",,75,84,73,65,104,96,96,95,109,128
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,1,6,4,5,9,9,9,2,14,8
"Observed Seat Belt Use*** (B-1)",,79,79,80,79,80,81,84,87,88,86


