"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Missouri",947,74019,1.28,6091384,15.55
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Missouri",932,75911,1.23,6111382,15.25
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Missouri",921,76595,1.20,6125986,15.03
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Missouri",881,79168,1.11,6140475,14.35
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Missouri",987,72797,1.36,6151548,16.04
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


