"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",209,205,229,192,224,190,186,181,184,213
,"Rural",179,191,224,178,200,170,167,153,159,190
,"Urban",29,14,5,14,24,19,19,28,25,22
,"Unknown",1,0,0,0,0,1,0,0,0,1
"Fatalities Per 100 Million VMT","Total (C-3)",1.79,1.72,1.90,1.58,1.81,1.51,1.47,1.43,1.43,1.76
,"Rural",2.05,2.15,2.68,2.11,2.34,1.95,1.91,1.75,1.78,2.26
,"Urban",0.99,0.47,0.14,0.38,0.63,0.49,0.49,0.71,0.63,0.60
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",164,157,161,145,170,145,142,132,117,151
,"Restrained",51,42,50,40,47,47,52,45,44,56
,"Unrestrained (C-4)",109,113,108,99,114,93,86,85,67,94
,"Unknown",4,2,3,6,9,5,4,2,6,1
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,82,89,93,73,76,84,56,80,66,96
"Speeding-Related Fatalities (C-6)",,75,88,76,52,91,61,59,66,57,83
"Motorcyclist Fatalities","Total (C-7)",20,30,35,23,24,17,22,21,23,29
,"Helmeted",9,9,12,10,5,5,9,10,9,11

,"Unhelmeted (C-8)",10,21,22,12,18,12,13,11,14,18
,"Unknown",1,0,1,1,1,0,0,0,0,0
"Drivers Involved in Fatal Crashes","Total",260,250,266,223,267,212,228,211,219,242
,"Aged Under 15",1,2,0,1,1,1,0,2,0,0
,"Aged 15-20",23,26,24,25,34,18,24,24,30,28
,"Aged Under 21 (C-9)",24,28,24,26,35,19,24,26,30,28
,"Aged 21 and Over",235,220,241,196,232,191,204,183,189,213
,"Unknown Age",1,2,1,1,0,2,0,2,0,1
"Pedestrian Fatalities (C-10)",,15,8,24,10,14,11,14,15,16,17
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,1,1,1,2,1,3,1,2,3,0
"Observed Seat Belt Use*** (B-1)",,77,76,74,74,77,76,78,87,89,90


