"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Montana",190,12599,1.51,1042137,18.23
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Montana",186,12645,1.47,1053862,17.65
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Montana",181,12700,1.43,1061818,17.05
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Montana",184,12892,1.43,1070123,17.19
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Montana",213,12104,1.76,1080577,19.71
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


