"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",181,212,211,225,246,218,228,230,248,233
,"Rural",138,161,170,177,173,166,159,171,178,165
,"Urban",43,51,41,48,73,52,69,59,70,68
,"Unknown",0,0,0,0,0,0,0,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",0.95,1.10,1.09,1.15,1.22,1.05,1.09,1.10,1.17,1.20
,"Rural",1.25,1.44,1.51,1.55,1.52,1.46,1.38,1.47,1.53,1.52
,"Urban",0.54,0.63,0.51,0.59,0.84,0.56,0.73,0.63,0.73,0.79
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",141,161,169,183,186,165,166,165,191,158
,"Restrained",43,43,44,57,47,61,49,57,68,37
,"Unrestrained (C-4)",79,102,105,95,118,83,99,88,90,100
,"Unknown",19,16,20,31,21,21,18,20,33,21
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,45,73,60,60,64,61,67,68,60,73
"Speeding-Related Fatalities (C-6)",,33,44,39,49,37,36,37,29,49,39
"Motorcyclist Fatalities","Total (C-7)",23,22,14,20,25,20,27,23,25,34

,"Helmeted",21,20,12,18,18,9,20,9,21,28
,"Unhelmeted (C-8)",2,1,1,1,4,3,0,2,1,6
,"Unknown",0,1,1,1,3,8,7,12,3,0
"Drivers Involved in Fatal Crashes","Total",257,284,275,305,328,302,316,353,351,332
,"Aged Under 15",0,2,0,2,0,0,0,0,1,3
,"Aged 15-20",27,36,39,32,39,26,35,40,32,35
,"Aged Under 21 (C-9)",27,38,39,34,39,26,35,40,33,38
,"Aged 21 and Over",228,245,233,270,287,275,277,308,318,292
,"Unknown Age",2,1,3,1,2,1,4,5,0,2
"Pedestrian Fatalities (C-10)",,7,15,12,9,19,12,20,24,20,18
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,2,0,0,2,4,1,3,0,1,1
"Observed Seat Belt Use*** (B-1)",,84,79,79,79,80,83,86,86,80,81


