"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Nebraska",218,20700,1.05,1906483,11.43
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Nebraska",228,21002,1.09,1916998,11.89
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Nebraska",230,20975,1.10,1925512,11.94
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Nebraska",248,21242,1.17,1932571,12.83
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Nebraska",233,19432,1.20,1937552,12.03
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


