"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",246,261,266,291,326,329,311,329,304,317
,"Rural",108,77,82,91,108,104,81,89,111,93
,"Urban",137,184,184,200,214,222,226,238,191,224
,"Unknown",1,0,0,0,4,3,4,2,2,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.02,1.08,1.08,1.15,1.26,1.23,1.13,1.16,1.06,1.26
,"Rural",2.21,1.59,1.64,1.88,2.16,1.99,1.48,1.56,1.97,1.74
,"Urban",0.71,0.95,0.94,0.98,1.02,1.03,1.02,1.05,0.82,1.13
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",137,148,125,145,177,153,144,172,158,153
,"Restrained",54,75,58,69,91,69,63,89,94,63
,"Unrestrained (C-4)",64,63,57,65,72,72,69,76,55,73
,"Unknown",19,10,10,11,14,12,12,7,9,17
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,70,85,81,93,99,102,85,88,89,83
"Speeding-Related Fatalities (C-6)",,76,102,90,100,112,126,95,93,89,93
"Motorcyclist Fatalities","Total (C-7)",41,43,59,63,55,74,54,58,56,58

,"Helmeted",36,26,50,52,41,59,44,46,39,48
,"Unhelmeted (C-8)",5,10,7,8,11,12,8,8,3,2
,"Unknown",0,7,2,3,3,3,2,4,14,8
"Drivers Involved in Fatal Crashes","Total",328,359,383,405,455,464,457,449,462,447
,"Aged Under 15",1,0,0,1,0,0,0,0,1,1
,"Aged 15-20",25,35,30,36,39,39,27,34,30,39
,"Aged Under 21 (C-9)",26,35,30,37,39,39,27,34,31,40
,"Aged 21 and Over",300,321,346,355,406,414,420,404,423,393
,"Unknown Age",2,3,7,13,10,11,10,11,8,14
"Pedestrian Fatalities (C-10)",,46,55,65,71,66,80,91,79,62,79
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,4,3,7,8,10,6,9,8,8,11
"Observed Seat Belt Use*** (B-1)",,94,91,95,94,92,89,91,92,94,94


