"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",90,108,135,95,114,136,102,147,101,104
,"Rural",64,60,87,48,66,75,51,78,58,59
,"Urban",26,48,48,47,48,61,51,69,42,43
,"Unknown",0,0,0,0,0,0,0,0,1,2
"Fatalities Per 100 Million VMT","Total (C-3)",0.71,0.84,1.05,0.73,0.87,1.01,0.75,1.07,0.73,0.87
,"Rural",1.15,1.03,1.72,0.94,1.28,1.40,0.94,1.42,1.04,1.20
,"Urban",0.36,0.68,0.61,0.60,0.61,0.75,0.62,0.83,0.51,0.61
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",66,70,91,58,74,96,70,98,61,56
,"Restrained",13,20,35,13,27,25,19,28,21,15
,"Unrestrained (C-4)",53,50,56,45,47,69,51,68,38,36
,"Unknown",0,0,0,0,0,2,0,2,2,5
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,27,32,45,29,32,40,26,46,38,37
"Speeding-Related Fatalities (C-6)",,39,39,66,47,56,77,58,71,35,37
"Motorcyclist Fatalities","Total (C-7)",14,29,24,17,26,19,15,28,30,25
,"Helmeted",2,10,7,3,10,11,7,6,15,7

,"Unhelmeted (C-8)",12,19,17,14,16,8,8,21,14,16
,"Unknown",0,0,0,0,0,0,0,1,1,2
"Drivers Involved in Fatal Crashes","Total",120,147,168,126,142,173,142,193,144,148
,"Aged Under 15",0,0,0,0,0,0,0,0,0,0
,"Aged 15-20",10,14,17,9,9,20,15,13,8,10
,"Aged Under 21 (C-9)",10,14,17,9,9,20,15,13,8,10
,"Aged 21 and Over",110,133,151,117,132,152,127,180,136,138
,"Unknown Age",0,0,0,0,1,1,0,0,0,0
"Pedestrian Fatalities (C-10)",,5,8,12,12,8,17,11,9,10,16
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,4,0,4,3,3,2,2,2,0,2
"Observed Seat Belt Use*** (B-1)",,75,69,73,70,70,70,68,76,71,72


