"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","New Hampshire",136,13513,1.01,1343694,10.12
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","New Hampshire",102,13681,0.75,1350395,7.55
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","New Hampshire",147,13776,1.07,1355064,10.85
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","New Hampshire",101,13828,0.73,1360783,7.42
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","New Hampshire",104,11956,0.87,1366275,7.61
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


