"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","New Jersey",602,77093,0.78,8873584,6.78
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","New Jersey",624,77509,0.81,8888147,7.02
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","New Jersey",563,77539,0.73,8891730,6.33
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","New Jersey",558,78205,0.71,8891258,6.28
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","New Jersey",584,66341,0.88,8882371,6.57
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


