"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",350,366,311,386,298,405,380,392,425,398
,"Rural",273,259,215,248,176,229,195,232,241,211
,"Urban",77,106,96,133,119,172,180,158,184,184
,"Unknown",0,1,0,5,3,4,5,2,0,3
"Fatalities Per 100 Million VMT","Total (C-3)",1.36,1.43,1.24,1.52,1.09,1.45,1.37,1.44,1.53,1.68
,"Rural",1.87,1.78,1.50,1.73,1.13,1.43,1.16,1.43,1.47,1.48
,"Urban",0.70,0.97,0.90,1.21,1.00,1.45,1.63,1.42,1.62,1.93
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",239,220,189,231,182,266,222,222,248,240
,"Restrained",128,98,72,106,70,117,107,87,117,98
,"Unrestrained (C-4)",109,106,96,98,88,136,105,112,101,131
,"Unknown",2,16,21,27,24,13,10,23,30,11
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,104,97,98,117,98,119,113,113,125,130
"Speeding-Related Fatalities (C-6)",,148,122,122,132,130,146,141,132,156,160

"Motorcyclist Fatalities","Total (C-7)",47,64,41,46,38,47,53,46,55,46
,"Helmeted",6,22,13,9,19,25,14,20,17,20
,"Unhelmeted (C-8)",41,39,20,35,18,22,35,20,32,24
,"Unknown",0,3,8,2,1,0,4,6,6,2
"Drivers Involved in Fatal Crashes","Total",414,471,391,473,383,506,535,516,561,537
,"Aged Under 15",3,1,1,1,1,0,0,1,1,1
,"Aged 15-20",37,43,37,38,31,56,50,43,56,52
,"Aged Under 21 (C-9)",40,44,38,39,32,56,50,44,57,53
,"Aged 21 and Over",371,414,344,416,340,434,467,450,484,458
,"Unknown Age",3,13,9,18,11,16,18,22,20,26
"Pedestrian Fatalities (C-10)",,39,61,49,75,54,74,75,83,83,79
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,4,7,4,5,7,4,2,11,9,8
"Observed Seat Belt Use*** (B-1)",,91,91,92,92,93,92,92,90,92,92


