"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","New Mexico",405,27886,1.45,2092555,19.35
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","New Mexico",380,27836,1.37,2092844,18.16
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","New Mexico",392,27288,1.44,2093754,18.72
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","New Mexico",425,27772,1.53,2099634,20.24
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","New Mexico",398,23756,1.68,2106319,18.90
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


