"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","New York",1041,122337,0.85,19636391,5.30
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","New York",1006,123477,0.81,19593849,5.13
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","New York",964,123510,0.78,19544098,4.93
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","New York",934,123986,0.75,19463131,4.80
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","New York",1046,102477,1.02,19336776,5.41
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


