"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",1230,1299,1290,1284,1379,1450,1412,1436,1457,1538
,"Rural",835,901,861,896,910,902,873,692,799,819
,"Urban",394,398,426,388,468,543,539,742,655,713
,"Unknown",1,0,3,0,1,5,0,2,3,6
"Fatalities Per 100 Million VMT","Total (C-3)",1.19,1.24,1.23,1.19,1.23,1.24,1.18,1.19,1.19,1.45
,"Rural",2.07,2.20,2.12,2.45,2.42,2.30,2.18,1.68,1.92,2.22
,"Urban",0.62,0.62,0.66,0.54,0.63,0.70,0.68,0.93,0.81,1.03
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",833,831,872,865,948,996,954,958,961,1038
,"Restrained",418,420,454,471,501,524,504,523,488,501
,"Unrestrained (C-4)",379,354,355,360,402,430,400,393,428,501
,"Unknown",36,57,63,34,45,42,50,42,45,36
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,359,372,368,363,389,428,399,419,386,454
"Speeding-Related Fatalities (C-6)",,476,441,413,497,547,566,423,327,331,489

"Motorcyclist Fatalities","Total (C-7)",170,198,189,190,192,185,176,191,210,192
,"Helmeted",159,173,170,175,176,168,161,176,187,172
,"Unhelmeted (C-8)",11,23,17,15,14,14,14,15,20,18
,"Unknown",0,2,2,0,2,3,1,0,3,2
"Drivers Involved in Fatal Crashes","Total",1678,1739,1749,1748,1935,2012,2004,2051,2055,2149
,"Aged Under 15",4,2,2,0,0,2,2,0,1,2
,"Aged 15-20",172,168,151,162,165,187,171,157,154,191
,"Aged Under 21 (C-9)",176,170,153,162,165,189,173,157,155,193
,"Aged 21 and Over",1481,1556,1578,1568,1750,1797,1807,1869,1876,1918
,"Unknown Age",21,13,18,18,20,26,24,25,24,38
"Pedestrian Fatalities (C-10)",,161,200,174,172,182,200,198,224,221,228
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,25,27,22,19,23,17,29,18,19,26
"Observed Seat Belt Use*** (B-1)",,90,88,89,91,90,92,91,91,88,87


