"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","North Carolina",1450,116749,1.24,10161802,14.27
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","North Carolina",1412,119176,1.18,10275758,13.74
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","North Carolina",1436,121127,1.19,10391358,13.82
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","North Carolina",1457,122475,1.19,10501384,13.87
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","North Carolina",1538,106342,1.45,10600823,14.51
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


