"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",148,170,148,135,131,113,116,105,100,100
,"Rural",132,146,138,116,122,106,103,91,84,76
,"Urban",16,24,10,19,9,7,10,14,16,24
,"Unknown",0,0,0,0,0,0,3,0,0,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.62,1.69,1.47,1.28,1.31,1.16,1.19,1.07,1.02,1.14
,"Rural",1.95,1.91,1.84,1.47,1.67,1.55,1.52,1.32,1.22,1.29
,"Urban",0.68,0.98,0.39,0.72,0.33,0.24,0.34,0.47,0.54,0.83
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",114,131,112,105,100,77,80,76,69,61
,"Restrained",30,40,28,29,29,21,28,29,24,17
,"Unrestrained (C-4)",76,89,66,71,63,48,42,37,33,39
,"Unknown",8,2,18,5,8,8,10,10,12,5
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,63,72,61,55,51,52,45,28,42,35
"Speeding-Related Fatalities (C-6)",,51,62,59,50,43,25,28,41,25,26
"Motorcyclist Fatalities","Total (C-7)",14,16,9,10,8,12,13,16,11,17
,"Helmeted",4,4,5,1,5,2,3,5,4,3

,"Unhelmeted (C-8)",10,11,3,9,3,10,10,11,7,14
,"Unknown",0,1,1,0,0,0,0,0,0,0
"Drivers Involved in Fatal Crashes","Total",187,218,213,176,166,138,147,144,126,135
,"Aged Under 15",0,0,1,2,2,0,0,1,1,2
,"Aged 15-20",22,23,20,21,14,15,15,8,9,11
,"Aged Under 21 (C-9)",22,23,21,23,16,15,15,9,10,13
,"Aged 21 and Over",165,195,192,152,150,123,131,135,116,122
,"Unknown Age",0,0,0,1,0,0,1,0,0,0
"Pedestrian Fatalities (C-10)",,9,7,1,9,7,7,5,6,5,8
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,1,0,1,3,1,3,2,2,2,1
"Observed Seat Belt Use*** (B-1)",,77,81,78,81,80,83,79,83,84,84


