"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","North Dakota",113,9739,1.16,756114,14.94
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","North Dakota",116,9717,1.19,756755,15.33
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","North Dakota",105,9856,1.07,760062,13.81
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","North Dakota",100,9826,1.02,763724,13.09
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","North Dakota",100,8768,1.14,765309,13.07
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


