"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",1017,1121,989,1006,1110,1132,1179,1068,1153,1230
,"Rural",661,640,513,496,492,508,552,471,530,471
,"Urban",356,481,471,506,610,614,620,580,617,727
,"Unknown",0,0,5,4,8,10,7,17,6,32
"Fatalities Per 100 Million VMT","Total (C-3)",0.91,0.99,0.88,0.89,0.98,0.95,0.99,0.93,1.01,1.19
,"Rural",1.82,1.75,1.54,1.49,1.46,1.46,1.56,1.36,1.51,1.51
,"Urban",0.47,0.63,0.59,0.64,0.76,0.73,0.74,0.73,0.77,1.01
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",693,791,699,732,745,745,825,728,780,791
,"Restrained",268,298,288,295,291,327,358,320,324,304
,"Unrestrained (C-4)",358,416,352,374,385,352,376,333,379,395
,"Unknown",67,77,59,63,69,66,91,75,77,92
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,310,389,266,302,309,331,328,297,362,448
"Speeding-Related Fatalities (C-6)",,299,354,273,274,207,257,252,291,321,340

"Motorcyclist Fatalities","Total (C-7)",165,162,132,136,168,199,157,145,162,211
,"Helmeted",45,38,43,42,55,53,45,48,45,52
,"Unhelmeted (C-8)",120,124,87,91,112,145,109,95,116,156
,"Unknown",0,0,2,3,1,1,3,2,1,3
"Drivers Involved in Fatal Crashes","Total",1433,1572,1477,1415,1630,1635,1677,1566,1638,1758
,"Aged Under 15",2,1,2,0,0,1,0,0,0,1
,"Aged 15-20",158,149,121,138,153,155,151,127,113,143
,"Aged Under 21 (C-9)",160,150,123,138,153,156,151,127,113,144
,"Aged 21 and Over",1259,1409,1336,1267,1453,1452,1495,1406,1499,1561
,"Unknown Age",14,13,18,10,24,27,31,33,26,53
"Pedestrian Fatalities (C-10)",,104,113,85,87,116,134,142,127,124,159
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,16,18,19,11,25,18,19,22,25,18
"Observed Seat Belt Use*** (B-1)",,84,82,85,85,84,84,83,85,86,86


