"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Ohio",1132,118608,0.95,11640060,9.73
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Ohio",1179,119598,0.99,11665706,10.11
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Ohio",1068,114474,0.93,11680892,9.14
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Ohio",1153,114694,1.01,11696507,9.86
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Ohio",1230,103115,1.19,11693217,10.52
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


