"Core Outcome Measures",,"Year",,,,,,,,,
,,"2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Traffic Fatalities","Total (C-1)",696,709,678,669,645,687,657,655,640,652
,"Rural",497,468,449,468,391,426,417,429,422,390
,"Urban",199,241,229,201,254,260,240,225,217,262
,"Unknown",0,0,0,0,0,1,0,1,1,0
"Fatalities Per 100 Million VMT","Total (C-3)",1.47,1.48,1.41,1.40,1.35,1.40,1.33,1.44,1.43,1.55
,"Rural",2.30,2.15,2.18,2.24,1.85,1.95,1.88,1.94,1.92,1.87
,"Urban",0.77,0.92,0.84,0.75,0.96,0.96,0.88,0.96,0.96,1.24
"Passenger Vehicle Occupant Fatalities (All Seat Positions)","Total",511,509,474,500,442,470,435,445,435,453
,"Restrained",201,199,200,209,196,201,164,205,194,189
,"Unrestrained (C-4)",287,282,248,258,218,226,233,205,206,220
,"Unknown",23,28,26,33,28,43,38,35,35,44
"Alcohol-Impaired Driving Fatalities (BAC=.08+)** (C-5)",,222,209,170,156,170,186,161,147,156,179
"Speeding-Related Fatalities (C-6)",,213,219,174,152,171,185,143,147,128,156

"Motorcyclist Fatalities","Total (C-7)",98,84,92,57,89,88,93,91,68,63
,"Helmeted",19,19,15,13,26,25,23,26,23,19
,"Unhelmeted (C-8)",79,63,77,44,62,62,68,60,42,39
,"Unknown",0,2,0,0,1,1,2,5,3,5
"Drivers Involved in Fatal Crashes","Total",900,944,969,902,889,937,929,968,884,911
,"Aged Under 15",1,3,3,3,2,2,8,0,0,1
,"Aged 15-20",101,81,83,81,103,77,85,83,75,90
,"Aged Under 21 (C-9)",102,84,86,84,105,79,93,83,75,91
,"Aged 21 and Over",789,852,867,809,773,843,825,870,796,806
,"Unknown Age",9,8,16,9,11,15,11,15,13,14
"Pedestrian Fatalities (C-10)",,43,65,58,50,70,88,79,60,85,85
"Bicyclist and Other Cyclist Fatalities**** (C-11)",,1,5,13,4,6,5,6,16,13,12
"Observed Seat Belt Use*** (B-1)",,86,84,84,86,85,87,87,86,85,85


