"Year",,"Fatalities","Total Vehicle Miles Traveled (Millions)","Fatalities Per 100 Million Vehicle Miles Traveled","Total Population","Fatalities Per 100,000 Population"
"2016","Oklahoma",687,49013,1.40,3928143,17.49
,"US",37806,3173815,1.19,323071755,11.70
,"Best State*","","",0.63,"",3.93
"2017","Oklahoma",657,49402,1.33,3933602,16.70
,"US",37473,3210248,1.17,325122128,11.53
,"Best State*","","",0.55,"",4.45
"2018","Oklahoma",655,45433,1.44,3943488,16.61
,"US",36835,3240327,1.14,326838199,11.27
,"Best State*","","",0.53,"",4.40
"2019","Oklahoma",640,44648,1.43,3960676,16.16
,"US",36355,3261772,1.11,328329953,11.07
,"Best State*","","",0.52,"",3.25
"2020","Oklahoma",652,42000,1.55,3980783,16.38
,"US",38824,2903622,1.34,329484123,11.78
,"Best State*","","",0.63,"",4.98


